,final_cell_type_B cells,final_cell_type_CD4,final_cell_type_CD4 Treg,final_cell_type_CD8,final_cell_type_Collagen CAF,final_cell_type_IDO_CD4,final_cell_type_IDO_CD8,final_cell_type_IFN CAF,final_cell_type_Ki67_CD4,final_cell_type_Ki67_CD8,final_cell_type_PD1 CD4,final_cell_type_PDPN CAF,final_cell_type_SMA CAF,final_cell_type_TCF1/7 CD4,final_cell_type_TCF1/7 CD8,final_cell_type_dCAF,final_cell_type_endothelial,final_cell_type_high endothelial venules (HEV),final_cell_type_hypoxic CAF,final_cell_type_hypoxic tCAF,final_cell_type_iCAF,final_cell_type_lymphatic endothelial,final_cell_type_mCAF,final_cell_type_myeloid,final_cell_type_neutrophils,final_cell_type_tCAF,final_cell_type_vCAF,roi_id
final_cell_type_B cells,0.13084353793508896,0.0,0.0,0.0,0.0,0.0,0.0,-0.018393460300552514,0.0,0.0,0.0,-0.20767002835263523,-0.42105843824582384,0.0,0.0,-0.6042840062034232,0.0,0.0,-0.6409148918206949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_CD4 Treg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_Collagen CAF,0.0,0.0,0.0,0.0,1.0605344050729784,0.0,0.0,0.5927584352376519,0.0,0.0,0.0,0.0,-0.6231688882850959,0.0,0.0,0.19087919587677318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4505222354876594,0.8518751918628008,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_IDO_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_IDO_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_IFN CAF,-0.018393460300552514,0.0,0.0,0.0,0.2917285504977469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39167204441804676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621436269517911,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_Ki67_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_Ki67_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_PD1 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_PDPN CAF,-0.20767002835263523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530539918617868,-0.41185835420652667,0.0,0.0,0.0,0.0,0.0,-1.2415162608702603,0.0,0.0,0.0,0.0,0.0,-0.4279149800735657,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_SMA CAF,-0.404025142989286,0.0,0.0,0.0,-0.4982306076018268,0.0,0.0,-0.4471892263344258,0.0,0.0,0.0,-0.27249020992743994,-0.21419383382701845,0.0,0.0,-0.39118371477320013,-0.4285439427145671,0.0,-0.60177836968991,0.0,-0.4424518754996283,0.0,-0.20470541614891824,-0.23812911597119185,-0.533645781920615,-0.6243882105511674,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_TCF1/7 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_TCF1/7 CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_dCAF,-0.9053122557741101,0.0,0.0,0.0,0.19087919587677318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3867293842548704,0.0,0.0,0.3929705096266848,0.0,0.0,-0.736126670103758,0.0,0.4119404722128354,0.0,-0.42310767497183766,-0.12207825456534142,0.0,-0.1914295990448467,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48653572326282196,0.0,0.0,-0.12130998161378116,0.0,0.0,-0.593504481255216,0.0,0.8163210785676275,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_high endothelial venules (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_hypoxic CAF,-0.6823073870027586,0.0,0.0,0.0,0.0,0.0,0.0,-1.0512543945582944,0.0,0.0,0.0,-0.9404900520071637,-0.5063268801611475,0.0,0.0,-0.6392171301829188,-0.593504481255216,0.0,-0.053201946299769244,0.0,0.0,0.0,-0.8975637565552936,-0.8975637565552936,-0.6011002591775501,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_hypoxic tCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_iCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6977234182692388,0.0,0.0,0.5880316751995422,0.8163210785676275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_lymphatic endothelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_mCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24690302494251198,0.0,0.0,-0.42310767497183766,0.0,0.0,-0.7214736409764841,0.0,0.0,0.0,0.490221091215689,0.0,-0.38522212255174915,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_myeloid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2936463413474335,0.0,0.0,-0.12207825456534142,0.0,0.0,-1.198590321806724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_neutrophils,0.0,0.0,0.0,0.0,0.4505222354876594,0.0,0.0,0.0621436269517911,0.0,0.0,0.0,-0.12688556607010354,-0.48249342436070813,0.0,0.0,0.0,0.0,0.0,-0.8229478532332852,0.0,0.0,0.0,-0.38522212255174915,0.0,0.11686470434862217,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_tCAF,0.0,0.0,0.0,0.0,0.8518751918628008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3056303989176104,0.0,0.0,-0.1914295990448467,0.0,0.0,0.0,0.0,0.7524697701810242,0.0,0.0,0.24149575013732005,0.0,0.7673650413659674,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_vCAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_1
final_cell_type_B cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_CD4 Treg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7376910450923418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14047536030787489,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16257942008136636,0.0,0.0,0.0,0.0,-0.5206710896151643,0.0,0.0,-0.6658562829404563,-0.4855667254240749,0.0,0.0,0.0,-0.2731259569711622,0.0,0.0,0.0,0.0,0.0,-0.41729745025341214,NSCLC_ALL_175_A_A1_10
final_cell_type_Collagen CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_IDO_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_IDO_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_IFN CAF,0.0,0.0,0.0,-0.16257942008136636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6360479241856982,0.0,0.0,-0.5325529208910051,-0.0019182145809239764,0.0,0.0,0.0,-0.6899505000846238,0.0,0.0,0.0,0.1384502598394966,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_Ki67_CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8151027427340385,0.0,0.0,-0.23678865621268083,-0.18677105023393847,0.0,0.0,0.0,-0.39269312188211103,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_Ki67_CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6492315861988224,0.0,0.0,-0.07306057900322666,-0.026259915305854663,0.0,0.0,0.0,-0.7046957511052016,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_PD1 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_PDPN CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_SMA CAF,0.0,0.0,-0.7376910450923418,-0.5206710896151643,0.0,0.0,0.0,-0.6360479241856982,-0.5932551279915942,-0.8253218770091586,0.0,0.0,-0.25641368882128396,0.0,-0.37749196770894544,-0.4424568287589251,-0.42490300327236574,0.0,0.004185482673221114,0.0,-0.44897590947289956,0.0,-0.2626035266526869,0.0,-0.8216996449734408,-0.31840417841745217,-0.3067521507130732,NSCLC_ALL_175_A_A1_10
final_cell_type_TCF1/7 CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
final_cell_type_TCF1/7 CD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37749196770894544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NSCLC_ALL_175_A_A1_10
